model,seed,n_trainval,n_test,cv_mean_cindex,cv_std_cindex,retrain_mean_cindex,test_cindex,test_loss,mean_best_epoch,boot_mean,boot_lower,boot_upper,boot_std,weight_binn,weight_gene,weight_clinical
gene,6,847,212,0.711138080669283,0.03321575393884343,0.8726787231460129,0.5812846946867566,3.5414589643478394,9,0.5812773326420879,0.48085302387224105,0.6773073140226827,0.05045518332521005,,1.0,
gene,7,847,212,0.7243866689271868,0.01584851016128696,0.9013038400114415,0.6266666666666667,2.874734878540039,10,0.627093482557028,0.5062816863867827,0.7463805079332934,0.06151324322155807,,1.0,
gene,8,847,212,0.7448793221654599,0.02322089567849661,0.8803546767852004,0.6597802197802198,2.8511544466018677,9,0.6577895658383948,0.5243493996668007,0.7822515953669301,0.06535629312688991,,1.0,
gene,9,847,212,0.6845435093660502,0.051749672260110485,0.8601318191517106,0.5148690634709276,3.3457937240600586,6,0.5167445679440845,0.39466177335516384,0.6533172362322598,0.06567389375493715,,1.0,
clinical,0,847,212,0.6894847712556473,0.0468411211476401,0.6612640690455762,0.6971301674069013,2.6614139676094055,4,0.6967157857079472,0.5855782767577854,0.8072629183793306,0.056600532359344,,,1.0
clinical,1,847,212,0.7165718366577873,0.07774848313882628,0.7089760660187214,0.6882226980728051,2.3161493837833405,13,0.6878870148615256,0.5677945761363656,0.8010052339973575,0.060611764461049315,,,1.0
clinical,2,847,212,0.7439517748297679,0.03961752615349061,0.7099167131390298,0.6325196163905842,2.53088915348053,17,0.6301185855928125,0.4815098783525885,0.7681660947026394,0.0741100467851903,,,1.0
clinical,3,847,212,0.7492121580562994,0.05080449031168402,0.6938847494977862,0.6942675159235668,2.382189095020294,14,0.6971102230065315,0.5762694465847699,0.8041211376725053,0.05601299233552875,,,1.0
clinical,4,847,212,0.7195963928239016,0.06349533193067493,0.6616050487468027,0.725,2.480800539255142,12,0.7220386837077031,0.5904833694948055,0.8238556296168761,0.060365961955714274,,,1.0
clinical,5,847,212,0.682752624042477,0.09607988515712271,0.6721141061283693,0.7042925278219396,2.6161939799785614,8,0.7029558390334739,0.5649113932928147,0.8098510722430663,0.06360554681957911,,,1.0
clinical,6,847,212,0.6967956210561947,0.09072799488664743,0.6993931302342518,0.7045995241871531,2.592562586069107,9,0.7043514767890743,0.5822954461651917,0.8223158666178088,0.06233601476662271,,,1.0
clinical,7,847,212,0.6974338150249801,0.07262332668574054,0.6646869380285345,0.667741935483871,2.360561639070511,9,0.6658049881766287,0.5202830549656584,0.7943373661521347,0.07223032541456925,,,1.0
clinical,8,847,212,0.7483256070753231,0.057854742237853606,0.7185190356234701,0.6925274725274725,2.635418176651001,16,0.687389767218238,0.5611663452011567,0.7916966735253772,0.05866406936213655,,,1.0
clinical,9,847,212,0.734085284742324,0.031249443278793636,0.7039640579435265,0.6262760763426543,2.4257652163505554,17,0.6260761992180747,0.45621834381954324,0.7748966367868806,0.08130728410934415,,,1.0
binn_gene,0,847,212,0.6957099229656278,0.04617859058336023,0.8675689121860827,0.6190638879398702,3.189448297023773,7,0.6183591456432673,0.5265711997385454,0.705811758740698,0.046230980747362635,0.46261468529701233,0.5373853445053101,
binn_gene,1,847,212,0.6475729903974721,0.07345016113561248,0.843026297018403,0.7027837259100642,2.5142163038253784,7,0.7017199796969361,0.6003458054473508,0.791650492964887,0.04975478881022618,0.46274611353874207,0.5372538566589355,
binn_gene,2,847,212,0.6687870695938671,0.08445829461679104,0.8027752037446243,0.6351351351351351,3.0228607058525085,5,0.6379176420061267,0.4972726272119211,0.7675551564210691,0.06941014098614023,0.47197577357292175,0.5280242562294006,
binn_gene,3,847,212,0.7037014975004823,0.05438751305779321,0.8596287313307489,0.5991810737033667,2.6091015338897705,7,0.5986670094980029,0.4477515583530404,0.755283920137398,0.07991945848849817,0.461178719997406,0.538821280002594,
binn_gene,4,847,212,0.634949482980662,0.06653168303054442,0.8572023970047946,0.7765384615384615,2.4245708286762238,7,0.77590218436736,0.6886391511095457,0.845715847172511,0.04050100414435433,0.46482497453689575,0.5351750254631042,
binn_gene,5,847,212,0.6919969119805458,0.05292657750610276,0.866312099601112,0.6248012718600954,3.1072392761707306,8,0.622735185622638,0.48100842973724334,0.7571906151011317,0.07042721013203875,0.45582637190818787,0.5441735982894897,
binn_gene,6,847,212,0.704452619382557,0.028625665512025653,0.8895375652384999,0.7073750991276765,3.0185770392417908,10,0.7075663902362294,0.6330200226598848,0.7808145264890781,0.038272287662010435,0.45471739768981934,0.5452826023101807,
binn_gene,7,847,212,0.7120421012194532,0.009699990276033415,0.8655519271565799,0.567741935483871,2.6401228308677673,6,0.5690606581394038,0.42992214900838716,0.7049181085322875,0.0700671712131091,0.46391844749450684,0.5360815525054932,
binn_gene,8,847,212,0.7351190648070128,0.04480193445484747,0.8840963161883336,0.6470329670329671,3.0521020889282227,9,0.6470732858619297,0.5262463255759864,0.7645127692801605,0.05960209723386346,0.4552401602268219,0.5447598695755005,
binn_gene,9,847,212,0.6988373401033036,0.0454051347660954,0.8603299543103712,0.5947625388371061,3.2604536414146423,7,0.5978816449636922,0.4299487556605868,0.7394496882301366,0.07679120516481665,0.45748648047447205,0.5425135493278503,
binn_clinical,0,847,212,0.7276094831640582,0.04691974646436911,0.7458024192870001,0.7280491971301674,2.574480503797531,6,0.7267101849397511,0.6334781796516776,0.8104748995892908,0.04491111714105302,0.5211315751075745,,0.47886842489242554
binn_clinical,1,847,212,0.6833890381083192,0.07638012552992507,0.671144609824528,0.5614561027837259,2.495348036289215,4,0.5620960462719793,0.4501881202358694,0.6759858194380646,0.056697014847296355,0.5074650049209595,,0.4925349950790405
binn_clinical,2,847,212,0.7185739167135604,0.07352439124761585,0.747126982995541,0.6673931996512642,2.557478189468384,6,0.6697757470535812,0.5374007237138143,0.7833810247622416,0.062294545862451305,0.5252083539962769,,0.4747917056083679
binn_clinical,3,847,212,0.7446034677538023,0.05265327875249107,0.8445747217087103,0.6828935395814377,2.3774156868457794,13,0.6858153944458176,0.5725668346703202,0.7888325049419284,0.055816280245102094,0.5845740437507629,,0.41542598605155945
binn_clinical,4,847,212,0.6906279579763464,0.05980406324288009,0.8105788325283777,0.7880769230769231,2.3759090304374695,10,0.7870941776401362,0.6921845515042542,0.8628925141997525,0.043464179967092585,0.5544177293777466,,0.4455822706222534
binn_clinical,5,847,212,0.7383251634556405,0.05257998935967791,0.7962504532817599,0.6705087440381559,2.5151221454143524,10,0.6681705240956367,0.5321103810385889,0.7935907559858201,0.0679768403324002,0.5627910494804382,,0.437208890914917
binn_clinical,6,847,212,0.6518621055558996,0.060598322860100036,0.6429259214305943,0.5836637589214909,2.6681327521800995,3,0.5801882273508395,0.47129971205630955,0.6860395701859117,0.055998835805776685,0.5047181248664856,,0.4952818751335144
binn_clinical,7,847,212,0.7182830016130637,0.05103124904058557,0.7321717159678688,0.6481720430107527,2.3882484436035156,5,0.6440064480486204,0.5102313083023067,0.7721040871054852,0.06660616001243397,0.5077071785926819,,0.4922928512096405
binn_clinical,8,847,212,0.7162527690147816,0.04490040375581271,0.7637810512878838,0.6839560439560439,2.667626678943634,7,0.682361470463764,0.5745344240450104,0.7834008424874539,0.053094931286301036,0.5104745626449585,,0.4895254373550415
binn_clinical,9,847,212,0.7283509002059201,0.0342107950515319,0.771084459768402,0.5956502441189525,2.4660394191741943,7,0.5982387749317211,0.4832055680802876,0.7074725211974924,0.057559970032672395,0.5412003993988037,,0.4587996304035187
gene_clinical,0,847,212,0.7008706951582828,0.05785706035944996,0.8675544916396881,0.5408267851042022,3.8958704471588135,7,0.5382388122522996,0.42279132672607606,0.650200912659527,0.057126047087699826,,0.540422797203064,0.45957720279693604
gene_clinical,1,847,212,0.6636335077610571,0.043899956104861804,0.874630800851734,0.6788008565310493,2.6113367080688477,9,0.6761869017471102,0.5626677770364541,0.7877038733187628,0.057216882491697485,,0.5391131639480591,0.4608868956565857
gene_clinical,2,847,212,0.6500818183902107,0.09051331677143334,0.8111340794069427,0.6935483870967742,2.7555269598960876,5,0.6938791887341611,0.5768633028901298,0.8044618477334595,0.05806208398322236,,0.524480402469635,0.4755195379257202
gene_clinical,3,847,212,0.6970355797341619,0.057512191336955926,0.8709461774645426,0.6037306642402184,2.842902660369873,7,0.6042187193029981,0.46931914277545167,0.744214634087452,0.0693809805177942,,0.5377594828605652,0.4622405469417572
gene_clinical,4,847,212,0.6656631077623163,0.050864395173815184,0.8976488759224301,0.7188461538461538,2.7071791887283325,10,0.7205716953252334,0.5965227714090202,0.8136553711459693,0.05386814056047168,,0.5425362586975098,0.4574637711048126
gene_clinical,5,847,212,0.6931594934702429,0.06646999835235558,0.8715459929892422,0.6935612082670907,2.507068485021591,10,0.6917119943722776,0.5548346458016422,0.8052977278875347,0.0660415072162388,,0.5389740467071533,0.4610259532928467
gene_clinical,6,847,212,0.7058149744306103,0.028540137194688363,0.8518960345395593,0.6708961141950832,2.9656324982643127,7,0.6693884547552975,0.5664133300503046,0.7666133146158032,0.05011453768124061,,0.540065348148346,0.45993465185165405
gene_clinical,7,847,212,0.7006089133511364,0.017244250319626214,0.8485638690916026,0.6086021505376344,2.6854573488235474,5,0.6108038708215214,0.4925390325949217,0.7314851792687256,0.06281616182254586,,0.5236868262290955,0.47631320357322693
gene_clinical,8,847,212,0.7383542884247711,0.02897687637113784,0.8641602699683928,0.6936263736263736,2.860704779624939,7,0.6928355612225644,0.5778548727690805,0.7952098843215767,0.0558170876529656,,0.5414783358573914,0.4585217535495758
gene_clinical,9,847,212,0.6993664692826899,0.05538230126739279,0.9067237250764597,0.5694629383044829,3.074403613805771,10,0.5706156247190138,0.4293817602607794,0.7205152816898212,0.07132398601614869,,0.5439256429672241,0.4560743570327759
full_hybinn,0,847,212,0.684490727619487,0.05673445055300192,0.8399333770756574,0.7341988384010932,2.430006831884384,5,0.7335585568070108,0.6361098426052909,0.818357878518683,0.04650170307546477,0.3182085156440735,0.3620273470878601,0.3197641372680664
full_hybinn,1,847,212,0.6633588605691733,0.02700751792343838,0.8497392489736396,0.6672376873661671,2.31951305270195,6,0.666595901635206,0.5597620235055459,0.7751602798433163,0.05624338368336606,0.31515270471572876,0.36874744296073914,0.3160998821258545
full_hybinn,2,847,212,0.6767508109115401,0.0764650965756082,0.8469802348197103,0.6761115954664342,3.048157811164856,7,0.6786034868799072,0.5386708380495085,0.8074259213340359,0.06837861618607352,0.31109189987182617,0.3732168674468994,0.3156912326812744
full_hybinn,3,847,212,0.6929298413814398,0.05396274428852459,0.8087464139585194,0.6555959963603276,2.3974201679229736,4,0.6555455983246572,0.540949467271497,0.7611627602593533,0.056254311260596615,0.32358136773109436,0.3535943329334259,0.3228243291378021
full_hybinn,4,847,212,0.6422576181397672,0.06570214661991443,0.8616201672019417,0.725,2.643869638442993,8,0.7247034859167089,0.6321372424546623,0.8062637045206864,0.043280111833382914,0.3110356032848358,0.37825319170951843,0.31071117520332336
full_hybinn,5,847,212,0.7181992595522579,0.06278430630501797,0.8393005358797695,0.6534181240063593,2.7276574671268463,6,0.6511099436932661,0.5108871949782381,0.7754723607624798,0.06973201823524498,0.3147408962249756,0.36754465103149414,0.31771451234817505
full_hybinn,6,847,212,0.7023613117910593,0.04187473609196048,0.7920924869523001,0.6891356066613799,2.7354449033737183,4,0.6885830936792531,0.6102531290445661,0.7643399234118737,0.04060547957932864,0.32044824957847595,0.3564176857471466,0.32313406467437744
full_hybinn,7,847,212,0.7262014747643069,0.02857668527791232,0.8777828760756083,0.6236559139784946,2.7121609449386597,8,0.6254139773481051,0.519560442836699,0.7320039442655526,0.054514089593466916,0.31027135252952576,0.38014402985572815,0.3095845580101013
full_hybinn,8,847,212,0.7342212981250084,0.015966688377637227,0.8625403011795273,0.6268131868131868,2.812089443206787,6,0.6261281844151168,0.48343942762259595,0.757619841950274,0.0688884417334199,0.3150688409805298,0.3665120005607605,0.31841909885406494
full_hybinn,9,847,212,0.6932864346100315,0.06271167286411294,0.8650648765634896,0.5122059476253884,3.051812529563904,7,0.5128794934187182,0.3750481653491698,0.6536548869653722,0.07183108727560804,0.31436431407928467,0.37097853422164917,0.31465721130371094
