pathway_id,pathway_name,mean_abs_ig_attribution,std_abs_ig_attribution,n_seeds,rank_by_mean,se_abs_ig_attribution,cv_abs_ig_attribution,consistency_score,above_mean_floor,rank_by_consistency_filtered
R-HSA-112409,RAF-independent MAPK1/3 activation,0.000470564,0.000455471,10,411,0.000144033,0.967925526,3.26706712,FALSE,
R-HSA-9034015,Signaling by NTRK3 (TRKC),0.000536766,0.000518864,10,384,0.000164079,0.966648377,3.271383612,FALSE,
R-HSA-9013695,NOTCH4 Intracellular Domain Regulates Transcription,0.000415606,0.000398659,10,433,0.000126067,0.959223232,3.296706706,FALSE,
R-HSA-76061,RNA Polymerase III Transcription Initiation From Type 1 Promoter,0.000222714,0.000213621,10,486,6.76E-05,0.959174192,3.296875256,FALSE,
R-HSA-389357,CD28 dependent PI3K/Akt signaling,0.000337571,0.000323289,10,462,0.000102233,0.957690977,3.301981261,FALSE,
R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,0.000399963,0.000383026,10,439,0.000121123,0.957651961,3.30211579,FALSE,
R-HSA-1566977,Fibronectin matrix formation,0.000450027,0.000429696,10,421,0.000135882,0.954822627,3.311900629,FALSE,
R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.000648542,0.000617882,10,338,0.000195391,0.952724963,3.319192615,FALSE,
R-HSA-9920588,Dengue virus activates/modulates innate and adaptive immune responses,0.000740561,0.000702318,10,298,0.000222092,0.948359625,3.334470993,FALSE,
R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3,0.000391256,0.000369606,10,441,0.00011688,0.944664269,3.347514843,FALSE,
R-HSA-9696270,RND2 GTPase cycle,0.000720735,0.000680377,10,309,0.000215154,0.944004551,3.349854254,FALSE,
R-HSA-5654726,Negative regulation of FGFR1 signaling,0.000400761,0.000377908,10,438,0.000119505,0.942977639,3.353502278,FALSE,
R-HSA-176974,Unwinding of DNA,0.000477916,0.000449204,10,407,0.000142051,0.939922948,3.36440095,FALSE,
R-HSA-9932451,SWI/SNF chromatin remodelers,0.000358442,0.00033686,10,452,0.000106524,0.939788479,3.364882343,FALSE,
R-HSA-8866652,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,0.000230416,0.000216505,10,485,6.85E-05,0.939627859,3.365457536,FALSE,
R-HSA-9932298,Degradation of CRY and PER proteins,0.000852046,0.000799228,10,258,0.000252738,0.938010246,3.371261319,FALSE,
R-HSA-170670,Adenylate cyclase inhibitory pathway,0.00018729,0.000175531,10,488,5.55E-05,0.937214871,3.374122367,FALSE,
R-HSA-6782315,tRNA modification in the nucleus and cytosol,0.000384603,0.000358831,10,443,0.000113472,0.932989949,3.389401636,FALSE,
R-HSA-9772572,Early SARS-CoV-2 Infection Events,0.000591284,0.000551572,10,364,0.000174422,0.9328381,3.389953368,FALSE,
R-HSA-4641257,Degradation of AXIN,0.000434388,0.000403763,10,425,0.000127681,0.929499586,3.402129174,FALSE,
R-HSA-3000480,Scavenging by Class A Receptors,0.000150169,0.000139374,10,490,4.41E-05,0.928116402,3.407199413,FALSE,
R-HSA-389513,Co-inhibition by CTLA4,0.000623268,0.000578116,10,346,0.000182816,0.927556356,3.409256634,FALSE,
R-HSA-5654727,Negative regulation of FGFR2 signaling,0.00063282,0.000585084,10,343,0.00018502,0.92456576,3.4202842,FALSE,
R-HSA-170822,Regulation of Glucokinase by Glucokinase Regulatory Protein,0.000834797,0.00076995,10,267,0.00024348,0.922320747,3.428609484,FALSE,
R-HSA-69186,Lagging Strand Synthesis,0.0002885,0.000264512,10,475,8.36E-05,0.91685165,3.449061427,FALSE,
R-HSA-3299685,Detoxification of Reactive Oxygen Species,0.000508134,0.000464842,10,392,0.000146996,0.914802374,3.456787772,FALSE,
R-HSA-8983432,Interleukin-15 signaling,0.000682416,0.000618025,10,326,0.000195437,0.905641773,3.491753312,FALSE,
R-HSA-5663084,Diseases of carbohydrate metabolism,0.000608262,0.000547306,10,356,0.000173074,0.899787801,3.514470473,FALSE,
R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,0.000709297,0.000637242,10,312,0.000201513,0.898413185,3.519847786,FALSE,
R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs),0.000859351,0.000769169,10,253,0.000243232,0.895057699,3.53304336,FALSE,
R-HSA-9934037,Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF),0.000408076,0.000363392,10,437,0.000114915,0.890500375,3.551124458,FALSE,
R-HSA-9701193,Defective homologous recombination repair (HRR) due to PALB2 loss of function,0.000394843,0.000351012,10,440,0.000111,0.88899078,3.557154622,FALSE,
R-HSA-180024,DARPP-32 events,0.000624753,0.000550414,10,345,0.000174056,0.881010854,3.589374234,FALSE,
R-HSA-9717207,"Sensory perception of sweet, bitter, and umami (glutamate) taste",0.000350003,0.00030785,10,456,9.74E-05,0.879564929,3.59527484,FALSE,
R-HSA-76071,RNA Polymerase III Transcription Initiation From Type 3 Promoter,0.000569152,0.000498916,10,371,0.000157771,0.876595792,3.607452478,FALSE,
R-HSA-9820841,M-decay: degradation of maternal mRNAs by maternally stored factors,0.000616041,0.000539668,10,349,0.000170658,0.876026638,3.609796237,FALSE,
R-HSA-418592,ADP signalling through P2Y purinoceptor 1,0.000672922,0.00058136,10,329,0.000183842,0.863934447,3.660321304,FALSE,
R-HSA-2173788,Downregulation of TGF-beta receptor signaling,0.000849087,0.000729829,10,259,0.000230792,0.859546145,3.679008599,FALSE,
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression",0.00086771,0.000739186,10,251,0.000233751,0.851880463,3.712114315,FALSE,
R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.0005456,0.000463403,10,379,0.000146541,0.849345062,3.72319544,FALSE,
R-HSA-975576,N-glycan antennae elongation in the medial/trans-Golgi,0.00075165,0.000638321,10,296,0.000201855,0.84922679,3.723713969,FALSE,
R-HSA-9929356,GSK3B-mediated proteasomal degradation of PD-L1(CD274),0.000786375,0.0006636,10,283,0.000209849,0.843871701,3.747344124,FALSE,
R-HSA-418360,Platelet calcium homeostasis,0.000842208,0.000709809,10,262,0.000224461,0.842794633,3.752133126,FALSE,
R-HSA-5602498,MyD88 deficiency (TLR2/4),0.000728261,0.000611617,10,303,0.00019341,0.839831713,3.765370621,FALSE,
R-HSA-8956319,Nucleotide catabolism,0.000698376,0.000582768,10,317,0.000184287,0.834461839,3.78960129,FALSE,
