pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-9665686,Signaling by ERBB2 TMD/JMD mutants,0.0005518705324970236
R-HSA-9733709,Cardiogenesis,0.0005459787708887646
R-HSA-196807,Nicotinate metabolism,0.0005326127498584835
R-HSA-3371571,HSF1-dependent transactivation,0.0005215690659177345
R-HSA-9927426,Developmental Lineage of Mammary Gland Alveolar Cells,0.0005202052868174883
R-HSA-9753281,Paracetamol ADME,0.0005181419140502551
R-HSA-2022377,Metabolism of Angiotensinogen to Angiotensins,0.0005176390180853119
R-HSA-9603798,Class I peroxisomal membrane protein import,0.0005175758658337583
R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,0.0005167658663672267
R-HSA-392851,Prostacyclin signalling through prostacyclin receptor,0.0005163925010375354
R-HSA-264876,Insulin processing,0.0005111068800649527
R-HSA-9932444,ATP-dependent chromatin remodelers,0.0005101240940553755
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,0.0005040257959119059
R-HSA-1483166,Synthesis of PA,0.0005038623913945352
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,0.0005033706357983331
R-HSA-6783783,Interleukin-10 signaling,0.0005028822624938271
R-HSA-9682385,FLT3 signaling in disease,0.0004950050744873747
R-HSA-9022692,Regulation of MECP2 expression and activity,0.0004936984518608687
R-HSA-6783310,Fanconi Anemia Pathway,0.0004891375081951199
R-HSA-1369062,ABC transporters in lipid homeostasis,0.00048592419241419194
R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,0.0004838221462382739
R-HSA-9635486,Infection with Mycobacterium tuberculosis,0.00047673233826381643
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",0.00046867325855397626
R-HSA-9955298,SLC-mediated transport of organic anions,0.0004670787561669033
R-HSA-4641257,Degradation of AXIN,0.0004617493530689842
R-HSA-113510,E2F mediated regulation of DNA replication,0.0004608016325368344
R-HSA-5334118,DNA methylation,0.00045578172064473154
R-HSA-5654700,FRS-mediated FGFR2 signaling,0.00044958588020763406
R-HSA-1638074,Keratan sulfate/keratin metabolism,0.00044803544803548166
R-HSA-5357956,TNFR1-induced NF-kappa-B signaling pathway,0.0004472636083938809
R-HSA-9013695,NOTCH4 Intracellular Domain Regulates Transcription,0.0004471423724315323
R-HSA-9696273,RND1 GTPase cycle,0.0004448051124162142
R-HSA-5654708,Downstream signaling of activated FGFR3,0.0004433796469901487
R-HSA-5676590,NIK-->noncanonical NF-kB signaling,0.00044014793148266883
R-HSA-112409,RAF-independent MAPK1/3 activation,0.00043770254073375285
R-HSA-5694530,Cargo concentration in the ER,0.0004354499063853988
R-HSA-9865881,Complex III assembly,0.0004347676726860695
R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,0.0004325911608968255
R-HSA-5637810,Constitutive Signaling by EGFRvIII,0.00042608450503859425
R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,0.00042603638837388684
R-HSA-9821993,Replacement of protamines by nucleosomes in the male pronucleus,0.0004250239621164741
R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",0.00042093824153611705
R-HSA-191273,Cholesterol biosynthesis,0.000412392444095805
R-HSA-933542,TRAF6 mediated NF-kB activation,0.0004084881175860391
R-HSA-9772572,Early SARS-CoV-2 Infection Events,0.0004071686945936026
R-HSA-9006115,Signaling by NTRK2 (TRKB),0.00040633189777331365
R-HSA-5651801,PCNA-Dependent Long Patch Base Excision Repair,0.00040410953019960925
R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,0.0004016889177203222
R-HSA-163359,Glucagon signaling in metabolic regulation,0.00040063191626417725
R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt),0.0004004257351623399
R-HSA-198753,ERK/MAPK targets,0.00040017279439926145
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,0.0003993829195062063
R-HSA-9614657,FOXO-mediated transcription of cell death genes,0.0003969203119647757
R-HSA-182971,EGFR downregulation,0.00039180356743115504
R-HSA-5627123,RHO GTPases activate PAKs,0.0003908942869319945
R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,0.00039019468371823276
